endtime,currQr,prevQr,stationName,failureCode,tipoFalla,resultado,notes
2026-05-12 11:24:40.877,B1-120526-05-K15635,B1-120526-05-K15635,Black Box 2 SSR - RF Chamber BLE Test,TIT2-BLE-000,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132881"", ""label_qr"": ""B1-120526-05-K15635"", ""pcba_qr"": ""TITANITE V2.0.3.2,002-P10,1226,0000294"", ""mac_id"": ""DC:9F:EB:10:50:0C"", ""rssi_dbm"": -44, ""battery_voltage_v"": 3.2, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
2026-05-12 11:26:35.423,B1-120526-05-K15595,B1-120526-05-K15595,Black Box 2 SSR - RF Chamber BLE Test,TIT2-BLE-000,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132881"", ""label_qr"": ""B1-120526-05-K15595"", ""pcba_qr"": ""TITANITE V2.0.3.2,002-P10,1226,0002593"", ""mac_id"": ""F8:20:A6:08:58:54"", ""rssi_dbm"": -43, ""battery_voltage_v"": 3.2, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
2026-05-12 11:28:17.527,B1-120526-00-K15590,B1-120526-00-K15590,Black Box 2 SSR - RF Chamber BLE Test,TIT2-DATA-002,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132881"", ""label_qr"": ""B1-120526-00-K15590"", ""pcba_qr"": ""C8-210426-K72400"", ""mac_id"": ""E0:F3:D8:9C:C0:36"", ""rssi_dbm"": -85, ""battery_voltage_v"": 3.4, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
2026-05-12 12:45:30.457,B1-120526-05-K15475,B1-120526-05-K15475,Black Box 2 SSR - RF Chamber BLE Test,TIT2-DATA-000,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132881"", ""label_qr"": ""B1-120526-05-K15475"", ""pcba_qr"": ""UNKNOWN"", ""mac_id"": ""05:38:B0:4B:E6:97"", ""rssi_dbm"": -84, ""battery_voltage_v"": 22.9, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
2026-05-12 12:47:19.103,B1-120526-04-K15614,B1-120526-04-K15614,Black Box 2 SSR - RF Chamber BLE Test,TIT2-BLE-000,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132881"", ""label_qr"": ""B1-120526-04-K15614"", ""pcba_qr"": ""TITANITE V2.0.3.2,002-P10,1226,0001937"", ""mac_id"": ""DA:52:DC:A7:DE:C2"", ""rssi_dbm"": -36, ""battery_voltage_v"": 3.2, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL"", ""failure_reason"": ""backward_check_failed""}"
2026-05-12 12:52:36.887,B1-120526-03-K15593,B1-120526-03-K15593,Black Box 2 SSR - RF Chamber BLE Test,TIT2-DATA-000,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132881"", ""label_qr"": ""B1-120526-03-K15593"", ""pcba_qr"": ""UNKNOWN"", ""mac_id"": ""28:E6:A9:67:54:63"", ""rssi_dbm"": -85, ""battery_voltage_v"": null, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
2026-05-12 13:52:32.840,B1-120526-04-K15614,B1-120526-04-K15614,Black Box 2 SSR - RF Chamber BLE Test,TIT2-DATA-000,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132881"", ""label_qr"": ""B1-120526-04-K15614"", ""pcba_qr"": ""UNKNOWN"", ""mac_id"": ""78:07:89:09:D2:F0"", ""rssi_dbm"": -76, ""battery_voltage_v"": 11.0, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
2026-05-12 14:06:37.760,B1-120526-03-K15583,B1-120526-03-K15583,Black Box 2 SSR - RF Chamber BLE Test,TIT2-BATT-000,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132881"", ""label_qr"": ""B1-120526-03-K15583"", ""pcba_qr"": ""TITANITE V2.0.3.2,002-P10,1226,0003800"", ""mac_id"": ""C1:1B:57:59:0D:07"", ""rssi_dbm"": -37, ""battery_voltage_v"": 3.4, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
2026-05-12 14:07:57.740,B1-120526-03-K15583,B1-120526-03-K15583,Black Box 2 SSR - RF Chamber BLE Test,TIT2-BATT-000,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132881"", ""label_qr"": ""B1-120526-03-K15583"", ""pcba_qr"": ""TITANITE V2.0.3.2,002-P10,1226,0003800"", ""mac_id"": ""C1:1B:57:59:0D:07"", ""rssi_dbm"": -36, ""battery_voltage_v"": 3.4, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
2026-05-12 14:33:10.147,B1-120526-03-K15583,B1-120526-03-K15583,Black Box 2 SSR - RF Chamber BLE Test,TIT2-BATT-000,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132881"", ""label_qr"": ""B1-120526-03-K15583"", ""pcba_qr"": ""TITANITE V2.0.3.2,002-P10,1226,0003800"", ""mac_id"": ""C1:1B:57:59:0D:07"", ""rssi_dbm"": -36, ""battery_voltage_v"": 3.4, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
